GAME_DATE,SEASON_ID,OPPONENT,IS_HOME,WIN,REST_DAYS,MIN,PTS,REB,AST,STL,BLK,TOV,PF,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,PLUS_MINUS
2022-03-21,2021-22,WAS,1,1,1,25,7,7,3,1,2,3,1,2,7,0.286,1,2,0.5,2,2,1.0,11
2022-03-23,2021-22,DAL,0,0,2,22,14,11,2,2,0,0,3,6,12,0.5,1,3,0.333,1,2,0.5,-18
2022-03-25,2021-22,POR,0,1,2,21,4,6,5,2,0,6,5,1,3,0.333,0,0,0.0,2,3,0.667,-5
2022-03-26,2021-22,POR,0,1,1,26,27,7,3,0,1,1,1,10,16,0.625,2,4,0.5,5,8,0.625,13
2022-03-28,2021-22,SAS,1,0,2,29,12,7,3,0,2,4,3,3,10,0.3,2,5,0.4,4,4,1.0,-5
2022-04-03,2021-22,MIN,1,0,6,33,14,15,4,0,1,5,4,5,7,0.714,0,1,0.0,4,4,1.0,-6
2022-04-05,2021-22,BKN,0,0,2,36,14,11,5,0,1,1,2,5,11,0.455,0,2,0.0,4,4,1.0,-12
2022-04-08,2021-22,TOR,0,0,3,33,17,2,3,1,0,1,4,7,12,0.583,0,2,0.0,3,3,1.0,-1
2022-04-10,2021-22,ATL,1,0,2,35,9,6,8,0,1,1,4,4,12,0.333,1,6,0.167,0,0,0.0,-17
2022-10-19,2022-23,ATL,0,0,192,22,15,9,0,0,0,6,3,5,9,0.556,1,2,0.5,4,4,1.0,-6
2022-10-21,2022-23,MEM,1,0,2,27,23,12,1,1,2,1,3,9,13,0.692,1,2,0.5,4,10,0.4,13
2022-10-22,2022-23,MIL,0,0,1,23,9,9,2,1,1,1,2,4,9,0.444,0,3,0.0,1,2,0.5,-8
2022-10-28,2022-23,POR,0,0,6,25,14,11,1,0,3,1,4,6,12,0.5,1,1,1.0,1,1,1.0,-8
2022-10-30,2022-23,PHX,0,0,2,29,16,9,2,1,0,1,3,6,10,0.6,0,2,0.0,4,4,1.0,-1
2022-10-31,2022-23,LAC,0,0,1,30,14,9,3,0,1,2,3,4,8,0.5,0,0,0.0,6,6,1.0,-8
2022-11-02,2022-23,LAC,1,0,2,33,26,13,2,1,0,0,6,8,13,0.615,0,1,0.0,10,11,0.909,-13
2022-11-05,2022-23,MIN,0,0,3,20,17,7,5,0,0,2,3,8,9,0.889,0,0,0.0,1,3,0.333,0
2022-11-07,2022-23,ORL,0,1,2,29,20,10,4,2,1,3,2,6,14,0.429,0,1,0.0,8,10,0.8,6
2022-11-09,2022-23,TOR,0,0,2,30,17,8,1,1,3,3,2,5,8,0.625,0,0,0.0,7,7,1.0,-13
2022-11-12,2022-23,NOP,0,0,3,19,6,3,1,1,0,1,6,3,6,0.5,0,1,0.0,0,0,0.0,-5
2022-11-14,2022-23,LAC,1,0,2,30,16,4,1,0,0,4,5,6,11,0.545,0,2,0.0,4,6,0.667,-11
2022-11-16,2022-23,DAL,0,1,2,26,14,7,1,0,5,4,2,5,10,0.5,0,0,0.0,4,5,0.8,-7
2022-11-18,2022-23,IND,1,0,2,28,11,9,4,1,0,1,4,4,13,0.308,1,1,1.0,2,2,1.0,4
2022-11-20,2022-23,GSW,1,0,2,23,4,7,3,1,0,3,3,1,3,0.333,0,0,0.0,2,2,1.0,-1
2022-11-26,2022-23,OKC,1,1,6,35,21,19,7,3,2,3,6,10,17,0.588,0,1,0.0,1,1,1.0,17
2022-11-28,2022-23,DEN,0,0,2,23,18,7,3,0,0,4,4,7,14,0.5,0,2,0.0,4,5,0.8,2
2022-11-30,2022-23,DEN,0,0,2,29,18,11,1,0,0,2,3,8,12,0.667,0,2,0.0,2,2,1.0,-4
2022-12-02,2022-23,PHX,0,1,2,24,13,4,2,2,1,2,2,5,7,0.714,0,0,0.0,3,5,0.6,-19
2022-12-03,2022-23,GSW,0,0,1,20,12,4,1,0,1,1,2,6,9,0.667,0,0,0.0,0,0,0.0,-24
2022-12-05,2022-23,PHI,1,1,2,34,8,8,1,1,0,4,6,4,9,0.444,0,0,0.0,0,0,0.0,8
2022-12-08,2022-23,SAS,0,0,3,29,16,11,2,0,0,3,3,8,17,0.471,0,0,0.0,0,0,0.0,-12
2022-12-11,2022-23,MIL,1,1,3,27,8,8,3,1,1,1,2,4,10,0.4,0,0,0.0,0,0,0.0,2
2022-12-13,2022-23,PHX,1,1,2,29,10,16,2,0,1,3,1,4,10,0.4,0,0,0.0,2,2,1.0,-3
2022-12-15,2022-23,MIA,1,0,2,24,12,5,2,0,1,1,5,6,10,0.6,0,0,0.0,0,0,0.0,-4
2022-12-17,2022-23,POR,1,0,2,21,10,8,0,0,3,1,1,4,11,0.364,0,1,0.0,2,2,1.0,-12
2022-12-19,2022-23,SAS,1,0,2,24,22,4,3,1,1,0,3,8,10,0.8,0,0,0.0,6,8,0.75,-16
2022-12-21,2022-23,ORL,1,0,2,32,13,12,6,0,0,2,3,5,8,0.625,0,1,0.0,3,6,0.5,0
2022-12-23,2022-23,DAL,1,0,2,27,19,8,7,1,0,0,3,6,9,0.667,0,0,0.0,7,8,0.875,12
2022-12-26,2022-23,CHI,0,1,3,32,25,11,6,1,2,4,3,10,12,0.833,1,1,1.0,4,4,1.0,24
2022-12-27,2022-23,BOS,0,0,1,22,0,9,2,1,0,1,2,0,3,0.0,0,0,0.0,0,0,0.0,-10
2022-12-29,2022-23,DAL,0,0,2,17,11,6,1,0,0,1,5,3,7,0.429,0,1,0.0,5,6,0.833,-14
2023-01-02,2022-23,DAL,1,0,4,26,16,6,5,0,1,2,5,5,7,0.714,0,0,0.0,6,8,0.75,4
2023-01-04,2022-23,NOP,0,0,2,22,13,4,5,2,1,1,3,5,11,0.455,0,0,0.0,3,3,1.0,-3
2023-01-05,2022-23,UTA,1,0,1,32,20,14,3,1,1,3,5,7,14,0.5,0,0,0.0,6,8,0.75,-2
